,pickup_index,pickup_name,pickup_district,pickup_latitude,pickup_longitude,index_dropoff,name_dropoff,district_dropoff,latitude_dropoff,longitude_dropoff,Frequency,route
157,19,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,52,"[[11.471965, 49.033825], [11.470256, 49.036085], [11.46274, 49.032955], [11.457999, 49.031947], [11.454801, 49.030169], [11.450814, 49.027247], [11.447935, 49.020698], [11.448829, 49.010366], [11.446993, 49.004932], [11.442703, 49.000286], [11.437049, 48.996991], [11.430861, 48.995461], [11.421884, 48.9956], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.375167, 48.997237], [11.374025, 48.995708], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
228,28,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,46,"[[11.471045, 49.036904], [11.471199, 49.036536], [11.470306, 49.036229], [11.46274, 49.032955], [11.457999, 49.031947], [11.454801, 49.030169], [11.450814, 49.027247], [11.447935, 49.020698], [11.448829, 49.010366], [11.446993, 49.004932], [11.442703, 49.000286], [11.437049, 48.996991], [11.430861, 48.995461], [11.421884, 48.9956], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.375167, 48.997237], [11.374025, 48.995708], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
12,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,19,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,46,"[[11.377329, 48.992203], [11.375053, 48.99364], [11.374025, 48.995708], [11.37533, 48.997349], [11.376993, 48.997743], [11.381124, 48.999265], [11.388853, 49.000183], [11.393164, 49.002397], [11.39631, 49.002865], [11.421884, 48.9956], [11.430861, 48.995461], [11.437794, 48.99731], [11.444376, 49.001669], [11.447371, 49.005663], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.457999, 49.031947], [11.46274, 49.032955], [11.470053, 49.036116], [11.471965, 49.033825]]"
19,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,28,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,45,"[[11.377329, 48.992203], [11.375053, 48.99364], [11.374025, 48.995708], [11.37533, 48.997349], [11.376993, 48.997743], [11.381124, 48.999265], [11.388853, 49.000183], [11.393164, 49.002397], [11.39631, 49.002865], [11.421884, 48.9956], [11.430861, 48.995461], [11.437794, 48.99731], [11.444376, 49.001669], [11.447371, 49.005663], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.457999, 49.031947], [11.46274, 49.032955], [11.470053, 49.036116], [11.471199, 49.036536], [11.471045, 49.036904]]"
286,31,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885,15,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,39,"[[11.467904, 49.035209], [11.470053, 49.036116], [11.470256, 49.036085], [11.470306, 49.036229], [11.46929, 49.036665], [11.466235, 49.037163], [11.465442, 49.037579], [11.464236, 49.040209], [11.464087, 49.041232], [11.463268, 49.042487], [11.462349, 49.043082], [11.460228, 49.043562], [11.459785, 49.043974], [11.459849, 49.044331], [11.458732, 49.044647], [11.458154, 49.044368], [11.45808, 49.043938], [11.459259, 49.043176], [11.461583, 49.042164], [11.462032, 49.041734], [11.462048, 49.039742], [11.461669, 49.039155], [11.458129, 49.038092], [11.455881, 49.037829], [11.4531, 49.038341], [11.452082, 49.039073], [11.451088, 49.039324], [11.451427, 49.038646], [11.451423, 49.038137]]"
203,22,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,28,"[[11.479179, 49.032938], [11.477608, 49.034099], [11.47485, 49.033217], [11.478207, 49.029462], [11.476462, 49.025306], [11.470795, 49.024173], [11.468496, 49.024273], [11.460416, 49.028834], [11.454831, 49.029911], [11.453078, 49.029382], [11.451017, 49.02752], [11.447935, 49.020698], [11.448829, 49.010366], [11.446993, 49.004932], [11.442703, 49.000286], [11.437049, 48.996991], [11.430861, 48.995461], [11.421884, 48.9956], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.375167, 48.997237], [11.374025, 48.995708], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
225,27,"Beilngries, Hafen",Beilngries,49.041112,11.47124,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,27,"[[11.471269, 49.041133], [11.471686, 49.040606], [11.471721, 49.040477], [11.472243, 49.038613], [11.470943, 49.03744], [11.471199, 49.036536], [11.470306, 49.036229], [11.46274, 49.032955], [11.457999, 49.031947], [11.454801, 49.030169], [11.450814, 49.027247], [11.447935, 49.020698], [11.448829, 49.010366], [11.446993, 49.004932], [11.442703, 49.000286], [11.437049, 48.996991], [11.430861, 48.995461], [11.421884, 48.9956], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.375167, 48.997237], [11.374025, 48.995708], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
253,30,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,24,"[[11.470658, 49.036342], [11.470306, 49.036229], [11.46274, 49.032955], [11.457999, 49.031947], [11.454801, 49.030169], [11.450814, 49.027247], [11.447935, 49.020698], [11.448829, 49.010366], [11.446993, 49.004932], [11.442703, 49.000286], [11.437049, 48.996991], [11.430861, 48.995461], [11.421884, 48.9956], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.375167, 48.997237], [11.374025, 48.995708], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
162,19,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,15,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,23,"[[11.471965, 49.033825], [11.4711, 49.034764], [11.470256, 49.036085], [11.470271, 49.036253], [11.46929, 49.036665], [11.466235, 49.037163], [11.465442, 49.037579], [11.464236, 49.040209], [11.464087, 49.041232], [11.463268, 49.042487], [11.462349, 49.043082], [11.460228, 49.043562], [11.459785, 49.043974], [11.459849, 49.044331], [11.458732, 49.044647], [11.458154, 49.044368], [11.45808, 49.043938], [11.459259, 49.043176], [11.461583, 49.042164], [11.462032, 49.041734], [11.462048, 49.039742], [11.461669, 49.039155], [11.458129, 49.038092], [11.455881, 49.037829], [11.4531, 49.038341], [11.452082, 49.039073], [11.451088, 49.039324], [11.451427, 49.038646], [11.451423, 49.038137]]"
21,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,30,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,22,"[[11.377329, 48.992203], [11.375053, 48.99364], [11.374025, 48.995708], [11.37533, 48.997349], [11.376993, 48.997743], [11.381124, 48.999265], [11.388853, 49.000183], [11.393164, 49.002397], [11.39631, 49.002865], [11.421884, 48.9956], [11.430861, 48.995461], [11.437794, 48.99731], [11.444376, 49.001669], [11.447371, 49.005663], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.457999, 49.031947], [11.46274, 49.032955], [11.470053, 49.036116], [11.470658, 49.036342]]"
18,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,27,"Beilngries, Hafen",Beilngries,49.041112,11.47124,22,"[[11.377329, 48.992203], [11.375053, 48.99364], [11.374025, 48.995708], [11.37533, 48.997349], [11.376993, 48.997743], [11.381124, 48.999265], [11.388853, 49.000183], [11.393164, 49.002397], [11.39631, 49.002865], [11.421884, 48.9956], [11.430861, 48.995461], [11.437794, 48.99731], [11.444376, 49.001669], [11.447371, 49.005663], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.457999, 49.031947], [11.46274, 49.032955], [11.470053, 49.036116], [11.471199, 49.036536], [11.470943, 49.03744], [11.472243, 49.038613], [11.471721, 49.040477], [11.471686, 49.040606], [11.471269, 49.041133]]"
239,29,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,22,"[[11.47403, 49.035076], [11.471199, 49.036536], [11.470306, 49.036229], [11.46274, 49.032955], [11.457999, 49.031947], [11.454801, 49.030169], [11.450814, 49.027247], [11.447935, 49.020698], [11.448829, 49.010366], [11.446993, 49.004932], [11.442703, 49.000286], [11.437049, 48.996991], [11.430861, 48.995461], [11.421884, 48.9956], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.375167, 48.997237], [11.374025, 48.995708], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
98,8,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733,31,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885,22,"[[11.404731, 49.017493], [11.407936, 49.017358], [11.409188, 49.015886], [11.409252, 49.01532], [11.410803, 49.01551], [11.4126, 49.016415], [11.415922, 49.017143], [11.417281, 49.018428], [11.425127, 49.022256], [11.432105, 49.024143], [11.438293, 49.026877], [11.444478, 49.028503], [11.450419, 49.033718], [11.450832, 49.036075], [11.451775, 49.036208], [11.451932, 49.03736], [11.452206, 49.037564], [11.453993, 49.037336], [11.456319, 49.037829], [11.46068, 49.038769], [11.461971, 49.03949], [11.461932, 49.041855], [11.45808, 49.043938], [11.458154, 49.044368], [11.458732, 49.044647], [11.459849, 49.044331], [11.460228, 49.043562], [11.462349, 49.043082], [11.463268, 49.042487], [11.465442, 49.037579], [11.470083, 49.03625], [11.467904, 49.035209]]"
415,55,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,49.019003,11.520783,31,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885,22,"[[11.52079, 49.018975], [11.519176, 49.019029], [11.517784, 49.02015], [11.517026, 49.021806], [11.515381, 49.022709], [11.505495, 49.02401], [11.497102, 49.023524], [11.492531, 49.024456], [11.48841, 49.026378], [11.477608, 49.034099], [11.473436, 49.032768], [11.472548, 49.033172], [11.467007, 49.034805], [11.467904, 49.035209]]"
267,30,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,40,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,21,"[[11.470658, 49.036342], [11.470306, 49.036229], [11.472867, 49.032889], [11.47485, 49.033217], [11.478207, 49.029462], [11.476462, 49.025306], [11.475957, 49.022221], [11.477433, 49.020667], [11.480138, 49.019306], [11.486974, 49.017081], [11.504196, 49.014404], [11.50696, 49.013042], [11.50774, 49.011367], [11.50704, 49.009758], [11.504806, 49.008344], [11.498913, 49.006376], [11.49718, 49.003674], [11.489368, 49.002657], [11.482247, 48.999337], [11.482843, 48.997778], [11.477832, 48.998037], [11.468726, 48.99637], [11.463263, 48.993984], [11.4611, 48.994183]]"
