,Booking ID,Status,Passenger status,Passengers,Actual Pickup Time,Actual Dropoff Time,pickup_index,pickup_name,pickup_district,pickup_latitude,pickup_longitude,index_dropoff,name_dropoff,district_dropoff,latitude_dropoff,longitude_dropoff,Pickup Hour,Pickup Day
0,252392,Validated,Trip completed,2,2024-09-01 08:01:00,2024-09-01 08:17:00,55.0,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,49.019003,11.520783,,,,,,8,6
1,253212,Cancelled by client,Cancelled,1,2024-09-01 08:18:00,2024-09-01 08:34:00,40.0,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,8,6
2,253369,Cancelled by client,Cancelled,3,2024-09-01 08:46:00,2024-09-01 09:09:00,66.0,"Wiesenhofen, Kirche",Litterzhofen,49.043035,11.412738,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,8,6
3,253808,Cancelled by driver,Cancelled,2,2024-09-01 08:56:00,2024-09-01 09:09:00,30.0,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,8,6
4,253782,Validated,Trip completed,2,2024-09-01 09:14:00,2024-09-01 09:25:00,40.0,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,21.0,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793,9,6
5,252382,Cancelled by driver,Cancelled,1,2024-09-01 09:41:00,2024-09-01 09:49:00,46.0,"Aschbuch, Waldsiedlung",Aschbuch,48.976207,11.491877,22.0,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163,9,6
6,251869,Validated,Trip completed,3,2024-09-01 09:54:00,2024-09-01 10:06:00,27.0,"Beilngries, Hafen",Beilngries,49.041112,11.47124,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,9,6
7,251083,Validated,Trip completed,1,2024-09-01 10:39:00,2024-09-01 10:46:00,20.0,"Beilngries, ZOB",Beilngries,49.032173,11.476295,9.0,"Unteremmendorf, Wendeschleife",Unteremmendorf,48.992112,11.434157,10,6
8,253882,Cancelled by client,Cancelled,1,2024-09-01 10:29:00,2024-09-01 10:38:00,38.0,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,10,6
9,251191,Cancelled by driver,Cancelled,2,2024-09-01 10:36:00,2024-09-01 10:55:00,19.0,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,10,6
10,253916,Validated,Trip completed,2,2024-09-01 10:36:00,2024-09-01 10:52:00,19.0,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,10,6
11,251100,Validated,Trip completed,1,2024-09-01 11:23:00,2024-09-01 11:34:00,50.0,"Wolfsbuch, Fuchsengasse",Wolfsbuch,48.976827,11.559612,38.0,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,11,6
12,253902,Validated,Trip completed,1,2024-09-01 11:34:00,2024-09-01 11:38:00,38.0,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,11,6
13,253352,Validated,Trip completed,2,2024-09-01 11:41:00,2024-09-01 11:41:00,27.0,"Beilngries, Hafen",Beilngries,49.041112,11.47124,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,11,6
14,253850,Validated,Trip completed,1,2024-09-01 11:41:00,2024-09-01 11:41:00,27.0,"Beilngries, Hafen",Beilngries,49.041112,11.47124,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,11,6
15,253848,Validated,Trip completed,6,2024-09-01 12:07:00,2024-09-01 12:25:00,40.0,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,,,,,,12,6
16,253844,Validated,Trip completed,2,2024-09-01 12:12:00,2024-09-01 12:23:00,46.0,"Aschbuch, Waldsiedlung",Aschbuch,48.976207,11.491877,30.0,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,12,6
17,253595,Cancelled by client,Cancelled,1,2024-09-01 12:16:00,2024-09-01 12:47:00,46.0,"Aschbuch, Waldsiedlung",Aschbuch,48.976207,11.491877,30.0,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,12,6
18,252795,Validated,Trip completed,2,2024-09-01 12:35:00,2024-09-01 12:44:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,11.0,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705,12,6
19,252691,Validated,Trip completed,1,2024-09-01 12:53:00,2024-09-01 13:08:00,53.0,Amtmannsdorf,Amtmannsdorf,48.998413,11.530053,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,12,6
20,253372,Validated,Trip completed,1,2024-09-01 13:20:00,2024-09-01 13:46:00,66.0,"Wiesenhofen, Kirche",Litterzhofen,49.043035,11.412738,17.0,"Beilngries, Hirschberger straße",Beilngries,49.040293,11.464213,13,6
21,253047,Cancelled by client,Cancelled,1,2024-09-01 13:33:00,2024-09-01 13:44:00,65.0,"Litterzhofen, Kirche",Plakstetten,49.069082,11.40739,28.0,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,13,6
22,253698,Validated,Trip completed,1,2024-09-01 13:46:00,2024-09-01 14:02:00,17.0,"Beilngries, Hirschberger straße",Beilngries,49.040293,11.464213,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,13,6
23,253933,Validated,Trip completed,2,2024-09-01 13:46:00,2024-09-01 13:57:00,15.0,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,3.0,"Kinding, Beilngrieser Straße",Kinding,49.002445,11.390002,13,6
24,253747,Validated,Trip completed,1,2024-09-01 14:02:00,2024-09-01 14:22:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,30.0,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,14,6
25,253950,Validated,Trip completed,1,2024-09-01 14:02:00,2024-09-01 14:22:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,27.0,"Beilngries, Hafen",Beilngries,49.041112,11.47124,14,6
26,253876,Cancelled by driver,Cancelled,2,2024-09-01 14:22:00,2024-09-01 14:32:00,19.0,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,14,6
27,253965,Cancelled by client,Cancelled,2,2024-09-01 14:30:00,2024-09-01 15:04:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,14,6
28,253929,Validated,Trip completed,3,2024-09-01 14:41:00,2024-09-01 14:49:00,64.0,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142,,,,,,14,6
29,251325,Cancelled by client,Cancelled,1,2024-09-01 14:45:00,2024-09-01 14:57:00,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,50.0,"Wolfsbuch, Fuchsengasse",Wolfsbuch,48.976827,11.559612,14,6
30,253875,Validated,Trip completed,2,2024-09-01 14:55:00,2024-09-01 16:00:00,19.0,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,14,6
31,253125,Cancelled by client,Cancelled,1,2024-09-01 15:28:00,2024-09-01 16:03:00,50.0,"Wolfsbuch, Fuchsengasse",Wolfsbuch,48.976827,11.559612,22.0,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163,15,6
32,246996,Cancelled by driver,Cancelled,1,2024-09-01 16:00:00,2024-09-01 16:12:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,16,6
33,251870,Cancelled by driver,Cancelled,3,2024-09-01 16:00:00,2024-09-01 16:13:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,27.0,"Beilngries, Hafen",Beilngries,49.041112,11.47124,16,6
34,254031,Cancelled by client,Cancelled,1,2024-09-01 15:50:00,2024-09-01 16:01:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,30.0,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,15,6
35,254043,Cancelled by driver,Cancelled,1,2024-09-01 16:00:00,2024-09-01 16:12:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,19.0,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,16,6
36,253856,Cancelled by client,Cancelled,1,2024-09-01 16:08:00,2024-09-01 16:14:00,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,38.0,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,16,6
37,244607,Cancelled by client,Cancelled,1,2024-09-01 16:30:00,2024-09-01 16:42:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,16,6
38,249874,Cancelled by driver,Cancelled,1,2024-09-01 16:36:00,2024-09-01 16:47:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,30.0,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,16,6
39,251401,Cancelled by driver,Cancelled,1,2024-09-01 16:36:00,2024-09-01 16:49:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,29.0,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,16,6
40,254071,Cancelled by driver,Cancelled,3,2024-09-01 16:36:00,2024-09-01 16:50:00,0.0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,27.0,"Beilngries, Hafen",Beilngries,49.041112,11.47124,16,6
41,254020,Validated,Trip completed,1,2024-09-01 16:42:00,2024-09-01 16:56:00,11.0,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705,47.0,Kirchbuch,Kirchbuch,48.965578,11.50951,16,6
42,253443,Cancelled by client,Cancelled,1,2024-09-01 16:42:00,2024-09-01 16:55:00,,,,,,65.0,"Litterzhofen, Kirche",Plakstetten,49.069082,11.40739,16,6
